ingredient_name,ingredient_id,nafdac_url,page_scraped,ingredient_name_clean,is_combination,component_count,components
Amidotrizoates,974,https://greenbook.nafdac.gov.ng/ingredient/products/974,2,Amidotrizoates,False,1,Amidotrizoates
Amikacin (Amikacin Sulphate),481,https://greenbook.nafdac.gov.ng/ingredient/products/481,2,Amikacin (Amikacin Sulphate),False,1,Amikacin
Amiloride Hydrochloride,233,https://greenbook.nafdac.gov.ng/ingredient/products/233,2,Amiloride Hydrochloride,False,1,Amiloride
Amiloride Hydrochloride; Hydrochlorothiazide,234,https://greenbook.nafdac.gov.ng/ingredient/products/234,2,Amiloride Hydrochloride; Hydrochlorothiazide,True,2,Amiloride | Hydrochlorothiazide
Amino acids,1938,https://greenbook.nafdac.gov.ng/ingredient/products/1938,2,Amino acids,False,1,Amino acids
Amino Acids with Electrolytes,380,https://greenbook.nafdac.gov.ng/ingredient/products/380,2,Amino Acids with Electrolytes,False,1,Amino Acids with Electrolytes
Amino Acids; Glycine; Xylitol,1963,https://greenbook.nafdac.gov.ng/ingredient/products/1963,2,Amino Acids; Glycine; Xylitol,True,3,Amino Acids | Glycine | Xylitol
Amino acids; Herbals,2223,https://greenbook.nafdac.gov.ng/ingredient/products/2223,2,Amino acids; Herbals,True,2,Amino acids | Herbals
Amino Acids; Sorbitol,1619,https://greenbook.nafdac.gov.ng/ingredient/products/1619,2,Amino Acids; Sorbitol,True,2,Amino Acids | Sorbitol
Amino acids; Vitamins,1742,https://greenbook.nafdac.gov.ng/ingredient/products/1742,2,Amino acids; Vitamins,True,2,Amino acids | Vitamins
Amino acids; Vitamins; Minerals; Dextrose,2233,https://greenbook.nafdac.gov.ng/ingredient/products/2233,2,Amino acids; Vitamins; Minerals; Dextrose,True,4,Amino acids | Vitamins | Minerals | Dextrose
Aminobenzoic acid,1507,https://greenbook.nafdac.gov.ng/ingredient/products/1507,2,Aminobenzoic acid,False,1,Aminobenzoic acid
Aminocaproic acid,338,https://greenbook.nafdac.gov.ng/ingredient/products/338,2,Aminocaproic acid,False,1,Aminocaproic acid
Aminoglutethimide,1511,https://greenbook.nafdac.gov.ng/ingredient/products/1511,2,Aminoglutethimide,False,1,Aminoglutethimide
Aminophylline,382,https://greenbook.nafdac.gov.ng/ingredient/products/382,2,Aminophylline,False,1,Aminophylline
Amiodarone,286,https://greenbook.nafdac.gov.ng/ingredient/products/286,2,Amiodarone,False,1,Amiodarone
Amiodarone Hydrochloride,1904,https://greenbook.nafdac.gov.ng/ingredient/products/1904,2,Amiodarone Hydrochloride,False,1,Amiodarone
Amitriptyline Hydrochloride,18,https://greenbook.nafdac.gov.ng/ingredient/products/18,2,Amitriptyline Hydrochloride,False,1,Amitriptyline
Amlodipine,2197,https://greenbook.nafdac.gov.ng/ingredient/products/2197,2,Amlodipine,False,1,Amlodipine
Amlodipine (Amlodipine Besilate),272,https://greenbook.nafdac.gov.ng/ingredient/products/272,2,Amlodipine (Amlodipine Besilate),False,1,Amlodipine
Amlodipine (Amlodipine Besilate); Atorvastatin (Atorvastatin Calcium),273,https://greenbook.nafdac.gov.ng/ingredient/products/273,2,Amlodipine (Amlodipine Besilate); Atorvastatin (Atorvastatin Calcium),True,2,Amlodipine | Atorvastatin
Amlodipine (Amlodipine Besilate); Hydrochlorothiazide,274,https://greenbook.nafdac.gov.ng/ingredient/products/274,2,Amlodipine (Amlodipine Besilate); Hydrochlorothiazide,True,2,Amlodipine | Hydrochlorothiazide
Amlodipine (Amlodipine Besilate); Indapamide,275,https://greenbook.nafdac.gov.ng/ingredient/products/275,2,Amlodipine (Amlodipine Besilate); Indapamide,True,2,Amlodipine | Indapamide
Amlodipine (Amlodipine Besilate); Irbesartan,261,https://greenbook.nafdac.gov.ng/ingredient/products/261,2,Amlodipine (Amlodipine Besilate); Irbesartan,True,2,Amlodipine | Irbesartan
Amlodipine (Amlodipine Besilate); Lisinopril,276,https://greenbook.nafdac.gov.ng/ingredient/products/276,2,Amlodipine (Amlodipine Besilate); Lisinopril,True,2,Amlodipine | Lisinopril
Amlodipine (Amlodipine Besilate); Losartan Potassium,277,https://greenbook.nafdac.gov.ng/ingredient/products/277,2,Amlodipine (Amlodipine Besilate); Losartan Potassium,True,2,Amlodipine | Losartan
Amlodipine (Amlodipine Besilate); Olmesartan Medoxomil,1088,https://greenbook.nafdac.gov.ng/ingredient/products/1088,2,Amlodipine (Amlodipine Besilate); Olmesartan Medoxomil,True,2,Amlodipine | Olmesartan Medoxomil
Amlodipine (Amlodipine Besilate); Perindopril,253,https://greenbook.nafdac.gov.ng/ingredient/products/253,2,Amlodipine (Amlodipine Besilate); Perindopril,True,2,Amlodipine | Perindopril
Amlodipine (Amlodipine Besilate); Perindopril; Indapamide,1247,https://greenbook.nafdac.gov.ng/ingredient/products/1247,2,Amlodipine (Amlodipine Besilate); Perindopril; Indapamide,True,3,Amlodipine | Perindopril | Indapamide
Amlodipine (Amlodipine Besilate); Ramipril,278,https://greenbook.nafdac.gov.ng/ingredient/products/278,2,Amlodipine (Amlodipine Besilate); Ramipril,True,2,Amlodipine | Ramipril
Amlodipine (Amlodipine Besilate); Telmisartan,269,https://greenbook.nafdac.gov.ng/ingredient/products/269,2,Amlodipine (Amlodipine Besilate); Telmisartan,True,2,Amlodipine | Telmisartan
Amlodipine (Amlodipine Besilate); Telmisartan; Chlortalidone,1345,https://greenbook.nafdac.gov.ng/ingredient/products/1345,3,Amlodipine (Amlodipine Besilate); Telmisartan; Chlortalidone,True,3,Amlodipine | Telmisartan | Chlortalidone
Amlodipine (Amlodipine Besilate); Telmisartan; Hydrochlorothiazide,1611,https://greenbook.nafdac.gov.ng/ingredient/products/1611,3,Amlodipine (Amlodipine Besilate); Telmisartan; Hydrochlorothiazide,True,3,Amlodipine | Telmisartan | Hydrochlorothiazide
Amlodipine (Amlodipine Besilate); Valsartan,279,https://greenbook.nafdac.gov.ng/ingredient/products/279,3,Amlodipine (Amlodipine Besilate); Valsartan,True,2,Amlodipine | Valsartan
Amlodipine (Amlodipine Besilate); Valsartan; Hydrochlorothiazide,280,https://greenbook.nafdac.gov.ng/ingredient/products/280,3,Amlodipine (Amlodipine Besilate); Valsartan; Hydrochlorothiazide,True,3,Amlodipine | Valsartan | Hydrochlorothiazide
"AMLODIPINE, TELMISARTAN, CHLORTHALIDONE",2359,https://greenbook.nafdac.gov.ng/ingredient/products/2359,3,"AMLODIPINE, TELMISARTAN, CHLORTHALIDONE",True,3,AMLODIPINE | TELMISARTAN | CHLORTHALIDONE
"Amlodipine,Indapamide",2334,https://greenbook.nafdac.gov.ng/ingredient/products/2334,3,"Amlodipine, Indapamide",True,2,Amlodipine | Indapamide
"Amlodipine,Valsartan",2322,https://greenbook.nafdac.gov.ng/ingredient/products/2322,3,"Amlodipine, Valsartan",True,2,Amlodipine | Valsartan
