generic_name,generic_name_lower,source_ingredient,ingredient_id,is_combination,nafdac_url
Cynocobalamin,cynocobalamin,Ferric Ammonium; Protein Hydrolysate; L-Lysine Mono Hydrochloride; Niacinamide; D-Pantherol; Pyridoxine Hydrochloride; Folic Acid; Cynocobalamin; Zinc Sulphate,1818,True,https://greenbook.nafdac.gov.ng/ingredient/products/1818
Cyproheptadine,cyproheptadine,"Cyproheptadine, Lysine Hydrochloride, Proteolyzed Liver Extract",2331,True,https://greenbook.nafdac.gov.ng/ingredient/products/2331
Cyproterone,cyproterone,Ethinylestradiol; Cyproterone Acetate,890,True,https://greenbook.nafdac.gov.ng/ingredient/products/890
Cytarabine,cytarabine,Cytarabine,716,False,https://greenbook.nafdac.gov.ng/ingredient/products/716
Cytidine,cytidine,Cytidine; Uridine,1520,True,https://greenbook.nafdac.gov.ng/ingredient/products/1520
D-Biotin,d-biotin,Ascorbic acid; Beta Carotene; Vit. B12; Vit. D3; Folic acid; Vit. B3; Vit. B6; Vit. B2; Vit. B1; Calcium Pantothenate; Calcium Phosphate; Choline; Copper Sulphate; D-Biotin,1690,True,https://greenbook.nafdac.gov.ng/ingredient/products/1690
D-Panthenol,d-panthenol,Ferric Ammonium Citrate; Protein Hydrolysate; Folic Acid; L-Lysine HCl; Pyridoxine HCl; Niacinamide; Cyanocobalamin; D-Panthenol; Zinc,2201,True,https://greenbook.nafdac.gov.ng/ingredient/products/2201
D-Pantherol,d-pantherol,Ferric Ammonium; Protein Hydrolysate; L-Lysine Mono Hydrochloride; Niacinamide; D-Pantherol; Pyridoxine Hydrochloride; Folic Acid; Cynocobalamin; Zinc Sulphate,1818,True,https://greenbook.nafdac.gov.ng/ingredient/products/1818
D-Pantothenate,d-pantothenate,"Vitamin B1, Vitamin B2, Vitamin B6; Nicotinamide; Sodium D-Pantothenate",2131,True,https://greenbook.nafdac.gov.ng/ingredient/products/2131
Dabigatran,dabigatran,Dabigatran,1487,False,https://greenbook.nafdac.gov.ng/ingredient/products/1487
Dabigatran Etexilate,dabigatran etexilate,Dabigatran Etexilate,2185,False,https://greenbook.nafdac.gov.ng/ingredient/products/2185
Dacarbazine,dacarbazine,Dacarbazine,728,False,https://greenbook.nafdac.gov.ng/ingredient/products/728
Daclatasvir,daclatasvir,Daclatasvir (Daclatasvir Dihydrochloride),1352,False,https://greenbook.nafdac.gov.ng/ingredient/products/1352
Dactinomycin,dactinomycin,Dactinomycin,712,False,https://greenbook.nafdac.gov.ng/ingredient/products/712
Dalteparin,dalteparin,Dalteparin,332,False,https://greenbook.nafdac.gov.ng/ingredient/products/332
Danazol,danazol,Danazol,664,False,https://greenbook.nafdac.gov.ng/ingredient/products/664
Dapagliflozin,dapagliflozin,Dapagliflozin,2319,False,https://greenbook.nafdac.gov.ng/ingredient/products/2319
Dapoxetine,dapoxetine,Dapoxetine (Dapoxetine Hydrochloride),702,False,https://greenbook.nafdac.gov.ng/ingredient/products/702
Dapsone,dapsone,Dapsone,499,False,https://greenbook.nafdac.gov.ng/ingredient/products/499
Darbepoetin alfa,darbepoetin alfa,Darbepoetin alfa,1271,False,https://greenbook.nafdac.gov.ng/ingredient/products/1271
Darrow’s Solution,darrow’s solution,Darrow’s Solution,377,False,https://greenbook.nafdac.gov.ng/ingredient/products/377
Darunavir,darunavir,Darunavir,1245,False,https://greenbook.nafdac.gov.ng/ingredient/products/1245
Daunorubicin,daunorubicin,Daunorubicin,713,False,https://greenbook.nafdac.gov.ng/ingredient/products/713
Deferasirox,deferasirox,Deferasirox,1370,False,https://greenbook.nafdac.gov.ng/ingredient/products/1370
Deferoxamine,deferoxamine,Deferoxamine,962,False,https://greenbook.nafdac.gov.ng/ingredient/products/962
Deflazacort,deflazacort,Deflazacort,1525,False,https://greenbook.nafdac.gov.ng/ingredient/products/1525
Degarelix,degarelix,Degarelix,1307,False,https://greenbook.nafdac.gov.ng/ingredient/products/1307
Dequalinium,dequalinium,Dequalinium,828,False,https://greenbook.nafdac.gov.ng/ingredient/products/828
Dequalinium Chloride,dequalinium chloride,Dequalinium Chloride,1617,False,https://greenbook.nafdac.gov.ng/ingredient/products/1617
Desloratadine,desloratadine,Desloratadine,415,False,https://greenbook.nafdac.gov.ng/ingredient/products/415
Desmopressin,desmopressin,Desmopressin acetate,663,False,https://greenbook.nafdac.gov.ng/ingredient/products/663
Desogestrel,desogestrel,Ethinylestradiol; Desogestrel,1178,True,https://greenbook.nafdac.gov.ng/ingredient/products/1178
Desonide,desonide,Desonide,1261,False,https://greenbook.nafdac.gov.ng/ingredient/products/1261
Dexamethasone,dexamethasone,Chlorpheniramine; Dexamethasone Sodium Phosphate; Tetrahydrozline,2027,True,https://greenbook.nafdac.gov.ng/ingredient/products/2027
Dexketoprofen,dexketoprofen,Dexketoprofen (Dexketoprofen Trometamol),76,False,https://greenbook.nafdac.gov.ng/ingredient/products/76
Dexmedetomidine,dexmedetomidine,Dexmedetomidine Hydrochloride,1750,False,https://greenbook.nafdac.gov.ng/ingredient/products/1750
Dexpanthenol,dexpanthenol,Cyproheptadine Hydrochloride; Lysine Hydrochloride; Vit B1; Vit B2; Vit B6; Vit B12; Nicotinamide; Dexpanthenol,1592,True,https://greenbook.nafdac.gov.ng/ingredient/products/1592
Dexrabeprazole,dexrabeprazole,Dexrabeprazole sodium,1332,False,https://greenbook.nafdac.gov.ng/ingredient/products/1332
Dextran,dextran,Dextran,340,False,https://greenbook.nafdac.gov.ng/ingredient/products/340
Dextromethorphan,dextromethorphan,Bromhexine (Bromhexine Hydrochloride); Dextromethorphan; Ammonium chloride,1620,True,https://greenbook.nafdac.gov.ng/ingredient/products/1620
Dextromethorphan HBr,dextromethorphan hbr,Pseudoephedrine Hydrochloride; Chlorpheniramine maleate; Dextromethorphan HBr,1897,True,https://greenbook.nafdac.gov.ng/ingredient/products/1897
Dextromethorphan Hydrobromide,dextromethorphan hydrobromide,Dextromethorphan Hydrobromide,408,False,https://greenbook.nafdac.gov.ng/ingredient/products/408
Dextromethrophan,dextromethrophan,Cetirizine Hydrochloride; Guafenesin; Acetaminophen; Dextromethrophan; Menthol,2358,True,https://greenbook.nafdac.gov.ng/ingredient/products/2358
Dextrose,dextrose,Amino acids; Vitamins; Minerals; Dextrose,2233,True,https://greenbook.nafdac.gov.ng/ingredient/products/2233
DHA,dha,Cod liver oil; DHA; EPA; Vit A; Vit D; Vit E; Vit B1; Vit B2; Vit B3; Vit B6; Vit C; Pantothenic acid,1452,True,https://greenbook.nafdac.gov.ng/ingredient/products/1452
